dataset,round,cluster_id,label,phrase,support_count,distance_cutoff,patch_len,stats_json
MB1,1,0,MIXED_PATTERN,"a mix of stable, trending, and spiky attributes",20000,12.288578033447266,5,"{""group_counts"": {""error"": {""noisy"": 0, ""spiky"": 0, ""stable"": 0, ""trend"": 0}, ""other"": {""noisy"": 0, ""spiky"": 2, ""stable"": 7, ""trend"": 6}, ""wear"": {""noisy"": 0, ""spiky"": 0, ""stable"": 0, ""trend"": 0}, ""workload"": {""noisy"": 0, ""spiky"": 0, ""stable"": 0, ""trend"": 0}}, ""num_patches"": 20000, ""per_feature"": [{""feature"": ""r_5"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 0.0010000020265579224, ""delta"": 0.0010000020265579224, ""level_mean"": 0.06863999962806702, ""level_std"": 0.0003878144214245358, ""max_step"": 0.00039999932050704956, ""mean_abs_step"": 0.0002500005066394806, ""pos_max_step"": 0.25, ""step_std"": 0.0001118019594629974}}, {""feature"": ""r_9"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 105.7783203125, ""delta"": 105.7783203125, ""level_mean"": 10703.145703125, ""level_std"": 37.41395787675096, ""max_step"": 26.6025390625, ""mean_abs_step"": 26.444580078125, ""pos_max_step"": 0.0, ""step_std"": 0.16747744365662662}}, {""feature"": ""r_12"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 0.01419830322265625, ""delta"": 0.01419830322265625, ""level_mean"": 19.83055000305176, ""level_std"": 0.005324194798018595, ""max_step"": 0.0052490234375, ""mean_abs_step"": 0.0035495758056640625, ""pos_max_step"": 0.5, ""step_std"": 0.0010877381994129963}}, {""feature"": ""r_177"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 1.3032989501953125, ""delta"": 1.3032989501953125, ""level_mean"": 97.00596160888672, ""level_std"": 0.46047469891306986, ""max_step"": 0.329803466796875, ""mean_abs_step"": 0.3258247375488281, ""pos_max_step"": 0.5, ""step_std"": 0.0039672943261847525}}, {""feature"": ""r_180"", ""group"": ""other"", ""label"": ""LOW_STABLE"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 6517.93212890625, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_181"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 9.999999747378752e-05, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_182"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_183"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 0.0010000020265579224, ""delta"": 0.0010000020265579224, ""level_mean"": 0.06863999962806702, ""level_std"": 0.0003878144214245358, ""max_step"": 0.00039999932050704956, ""mean_abs_step"": 0.0002500005066394806, ""pos_max_step"": 0.25, ""step_std"": 0.0001118019594629974}}, {""feature"": ""r_184"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_187"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.019750000908970833, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_195"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.019750000908970833, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_197"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_199"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 0.027250051498413086, ""delta"": 0.027250051498413086, ""level_mean"": 2.118559980392456, ""level_std"": 0.009532666854628872, ""max_step"": 0.008500099182128906, ""mean_abs_step"": 0.0068125128746032715, ""pos_max_step"": 0.0, ""step_std"": 0.001139303173531092}}, {""feature"": ""r_241"", ""group"": ""other"", ""label"": ""HIGH_RATE_BURSTS"", ""role"": ""spiky"", ""stats"": {""L"": 5, ""amp"": 2886434816.0, ""delta"": 2886434816.0, ""level_mean"": 250725793792.0, ""level_std"": 1020205213.3004088, ""max_step"": 726089728.0, ""mean_abs_step"": 721608704.0, ""pos_max_step"": 0.25, ""step_std"": 4174296.2794626835}}, {""feature"": ""r_242"", ""group"": ""other"", ""label"": ""HIGH_RATE_BURSTS"", ""role"": ""spiky"", ""stats"": {""L"": 5, ""amp"": 2674819072.0, ""delta"": 2674819072.0, ""level_mean"": 224656126771.2, ""level_std"": 947886304.2780427, ""max_step"": 686702592.0, ""mean_abs_step"": 668704768.0, ""pos_max_step"": 0.25, ""step_std"": 14514478.703207223}}], ""role_counts"": {""noisy"": 0, ""spiky"": 2, ""stable"": 7, ""trend"": 6}}"
MB1,1,1,UNUSED_PROTO,prototype rarely activated in training windows,0,12.288578033447266,5,{}
MB1,1,2,MIXED_PATTERN,"a mix of stable, trending, and spiky attributes",1090,12.288578033447266,5,"{""group_counts"": {""error"": {""noisy"": 0, ""spiky"": 0, ""stable"": 0, ""trend"": 0}, ""other"": {""noisy"": 0, ""spiky"": 2, ""stable"": 11, ""trend"": 2}, ""wear"": {""noisy"": 0, ""spiky"": 0, ""stable"": 0, ""trend"": 0}, ""workload"": {""noisy"": 0, ""spiky"": 0, ""stable"": 0, ""trend"": 0}}, ""num_patches"": 1090, ""per_feature"": [{""feature"": ""r_5"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_9"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 103.82421875, ""delta"": 103.82421875, ""level_mean"": 15126.16484375, ""level_std"": 36.73876452013849, ""max_step"": 26.2158203125, ""mean_abs_step"": 25.9560546875, ""pos_max_step"": 0.5, ""step_std"": 0.1626907402943974}}, {""feature"": ""r_12"", ""group"": ""other"", ""label"": ""LOW_STABLE"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 21.662385940551758, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_177"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 1.5119247436523438, ""delta"": 1.5119247436523438, ""level_mean"": 104.81834716796875, ""level_std"": 0.5355331483874033, ""max_step"": 0.4036712646484375, ""mean_abs_step"": 0.37798118591308594, ""pos_max_step"": 0.25, ""step_std"": 0.019430391380112183}}, {""feature"": ""r_180"", ""group"": ""other"", ""label"": ""LOW_STABLE"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 6504.5791015625, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_181"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_182"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_183"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_184"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_187"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_195"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_197"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_199"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_241"", ""group"": ""other"", ""label"": ""HIGH_RATE_BURSTS"", ""role"": ""spiky"", ""stats"": {""L"": 5, ""amp"": 3525574656.0, ""delta"": 3525574656.0, ""level_mean"": 269864779776.0, ""level_std"": 1248395294.4474561, ""max_step"": 896647168.0, ""mean_abs_step"": 881393664.0, ""pos_max_step"": 0.5, ""step_std"": 9456442.571626183}}, {""feature"": ""r_242"", ""group"": ""other"", ""label"": ""HIGH_RATE_BURSTS"", ""role"": ""spiky"", ""stats"": {""L"": 5, ""amp"": 18451529728.0, ""delta"": 18451529728.0, ""level_mean"": 3278728069120.0, ""level_std"": 6510964371.223821, ""max_step"": 4739563520.0, ""mean_abs_step"": 4612882432.0, ""pos_max_step"": 0.0, ""step_std"": 92973643.70922469}}], ""role_counts"": {""noisy"": 0, ""spiky"": 2, ""stable"": 11, ""trend"": 2}}"
MB1,1,3,UNUSED_PROTO,prototype rarely activated in training windows,0,12.288578033447266,5,{}
MB1,1,4,UNUSED_PROTO,prototype rarely activated in training windows,0,12.288578033447266,5,{}
MB1,1,5,UNUSED_PROTO,prototype rarely activated in training windows,0,12.288578033447266,5,{}
MB1,1,6,UNUSED_PROTO,prototype rarely activated in training windows,0,12.288578033447266,5,{}
MB1,1,7,UNUSED_PROTO,prototype rarely activated in training windows,0,12.288578033447266,5,{}
MB1,2,0,MIXED_PATTERN,"a mix of stable, trending, and spiky attributes",20000,10.027172088623047,5,"{""group_counts"": {""error"": {""noisy"": 0, ""spiky"": 0, ""stable"": 0, ""trend"": 0}, ""other"": {""noisy"": 0, ""spiky"": 2, ""stable"": 5, ""trend"": 8}, ""wear"": {""noisy"": 0, ""spiky"": 0, ""stable"": 0, ""trend"": 0}, ""workload"": {""noisy"": 0, ""spiky"": 0, ""stable"": 0, ""trend"": 0}}, ""num_patches"": 20000, ""per_feature"": [{""feature"": ""r_5"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 0.0007999986410140991, ""delta"": 0.0007999986410140991, ""level_mean"": 0.060739999264478685, ""level_std"": 0.0003199994564056397, ""max_step"": 0.00039999932050704956, ""mean_abs_step"": 0.00019999966025352478, ""pos_max_step"": 0.5, ""step_std"": 0.000141421116000273}}, {""feature"": ""r_9"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 104.73828125, ""delta"": 104.73828125, ""level_mean"": 10401.509375, ""level_std"": 37.00162057987609, ""max_step"": 26.3203125, ""mean_abs_step"": 26.1845703125, ""pos_max_step"": 0.75, ""step_std"": 0.10541900591962548}}, {""feature"": ""r_12"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 0.011150360107421875, ""delta"": 0.011150360107421875, ""level_mean"": 20.735350036621092, ""level_std"": 0.003947871907675802, ""max_step"": 0.0031490325927734375, ""mean_abs_step"": 0.0027875900268554688, ""pos_max_step"": 0.25, ""step_std"": 0.0002526589076655325}}, {""feature"": ""r_177"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 1.2869949340820312, ""delta"": 1.2869949340820312, ""level_mean"": 94.90686950683593, ""level_std"": 0.45535399460374143, ""max_step"": 0.32434844970703125, ""mean_abs_step"": 0.3217487335205078, ""pos_max_step"": 0.5, ""step_std"": 0.0016191525121644768}}, {""feature"": ""r_180"", ""group"": ""other"", ""label"": ""LOW_STABLE"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 6517.26416015625, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_181"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0002500000118743628, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_182"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0001500000071246177, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_183"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 0.0007999986410140991, ""delta"": 0.0007999986410140991, ""level_mean"": 0.060739999264478685, ""level_std"": 0.0003199994564056397, ""max_step"": 0.00039999932050704956, ""mean_abs_step"": 0.00019999966025352478, ""pos_max_step"": 0.5, ""step_std"": 0.000141421116000273}}, {""feature"": ""r_184"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_187"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 4.9999915063381195e-05, ""delta"": 4.9999915063381195e-05, ""level_mean"": 0.0024799999780952932, ""level_std"": 2.449485581755647e-05, ""max_step"": 4.9999915063381195e-05, ""mean_abs_step"": 1.2499978765845299e-05, ""pos_max_step"": 0.25, ""step_std"": 2.1650598315976168e-05}}, {""feature"": ""r_195"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 4.9999915063381195e-05, ""delta"": 4.9999915063381195e-05, ""level_mean"": 0.0024799999780952932, ""level_std"": 2.449485581755647e-05, ""max_step"": 4.9999915063381195e-05, ""mean_abs_step"": 1.2499978765845299e-05, ""pos_max_step"": 0.25, ""step_std"": 2.1650598315976168e-05}}, {""feature"": ""r_197"", ""group"": ""other"", ""label"": ""ZERO_OR_NEAR_ZERO"", ""role"": ""stable"", ""stats"": {""L"": 5, ""amp"": 0.0, ""delta"": 0.0, ""level_mean"": 0.0, ""level_std"": 0.0, ""max_step"": 0.0, ""mean_abs_step"": 0.0, ""pos_max_step"": 0.0, ""step_std"": 0.0}}, {""feature"": ""r_199"", ""group"": ""other"", ""label"": ""FAST_RISE"", ""role"": ""trend"", ""stats"": {""L"": 5, ""amp"": 0.018399953842163086, ""delta"": 0.018399953842163086, ""level_mean"": 3.2388100147247316, ""level_std"": 0.006509902839722585, ""max_step"": 0.005300045013427734, ""mean_abs_step"": 0.0045999884605407715, ""pos_max_step"": 0.0, ""step_std"": 0.0005159787438722229}}, {""feature"": ""r_241"", ""group"": ""other"", ""label"": ""HIGH_RATE_BURSTS"", ""role"": ""spiky"", ""stats"": {""L"": 5, ""amp"": 2892824576.0, ""delta"": 2892824576.0, ""level_mean"": 245441593344.0, ""level_std"": 1023422797.2992225, ""max_step"": 725663744.0, ""mean_abs_step"": 723206144.0, ""pos_max_step"": 0.5, ""step_std"": 2804776.1895623687}}, {""feature"": ""r_242"", ""group"": ""other"", ""label"": ""HIGH_RATE_BURSTS"", ""role"": ""spiky"", ""stats"": {""L"": 5, ""amp"": 2571042816.0, ""delta"": 2571042816.0, ""level_mean"": 205738531225.6, ""level_std"": 908932446.7168032, ""max_step"": 649396224.0, ""mean_abs_step"": 642760704.0, ""pos_max_step"": 0.75, ""step_std"": 5030354.949009463}}], ""role_counts"": {""noisy"": 0, ""spiky"": 2, ""stable"": 5, ""trend"": 8}}"
MB1,2,1,UNUSED_PROTO,prototype rarely activated in training windows,0,10.027172088623047,5,{}
