dataset,round,kind,matched_patches,total_patches,coverage,out_of_library_patches,out_of_library_rate
MB1,1,attribute,79855512,82057680,0.9731631701018113,2202168,0.02683682989818869
MB1,1,cross_attribute,4525386,5470512,0.827232624661092,945126,0.17276737533890796
MB1,2,attribute,86688047,92756520,0.9345763187320956,6068473,0.0654236812679044
MB1,2,cross_attribute,5806651,6183768,0.9390150147935692,377117,0.060984985206430774
MB1,3,attribute,93459527,101874330,0.9174001635151858,8414803,0.08259983648481418
MB1,3,cross_attribute,6137633,6791622,0.903706507812125,653989,0.096293492187875
MB2,1,attribute,87151989,91172700,0.9559000556087514,4020711,0.044099944391248695
MB2,1,cross_attribute,6042936,6078180,0.9942015537545779,35244,0.005798446245422149
MB2,2,attribute,98153259,102686310,0.9558553520912378,4533051,0.04414464790876213
MB2,2,cross_attribute,6804300,6845754,0.9939445676838519,41454,0.006055432316148082
MB2,3,attribute,106485410,111221460,0.9574178400463363,4736050,0.04258215995366362
MB2,3,cross_attribute,7370615,7414764,0.9940457983558209,44149,0.0059542016441791
MB1,aggregate,attribute,260003086,276688530,0.9396959317395629,16685444,0.060304068260437105
MB1,aggregate,cross_attribute,16469670,18445902,0.8928633579425934,1976232,0.10713664205740657
MB2,aggregate,attribute,291790658,305080470,0.9564383390388772,13289812,0.043561660961122815
MB2,aggregate,cross_attribute,20217851,20338698,0.9940582725600232,120847,0.005941727439976738
